ticker  expr_date   time_to_maturity        risk_free_rate      spot_price
MSFT    2024-04-05  0.0136986301369863      5.384               420.72

strike_price    i_v         spot_price      black_scoles_call_option_price
397.5           0.232       420.72          51.481969510380964
400.0           0.215       420.72          49.159716894324276
402.5           0.203       420.72          46.837464978775756
405.0           0.196       420.72          44.51521355202175
407.5           0.168       420.72          42.192960884214415
410.0           0.176       420.72          39.87071012063632
412.5           0.168       420.72          37.54845881469396
415.0           0.167       420.72          35.22621172222091
